,obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
29,30,12.0,1,1,0,12,19,37,0,1,2.4849067,228,1,12,19,1,12
30,31,13.39,0,0,0,12,34,52,0,0,2.5945082,408,0,0,0,0,0
31,32,36.85,0,0,0,20,21,47,1,0,3.6068556,420,0,0,0,0,0
32,33,27.47,0,0,0,16,25,47,0,0,3.3130944,400,0,0,0,0,0
33,34,6.0,0,1,0,12,2,20,0,0,1.7917595,24,0,0,0,1,12
34,35,21.54,1,0,1,18,19,43,1,0,3.0699117,342,1,18,19,0,0
35,36,12.43,0,0,0,12,7,25,1,0,2.520113,84,0,0,0,0,0
36,37,19.7,0,0,0,12,33,51,1,0,2.9806187,396,0,0,0,0,0
37,38,7.5,1,0,0,12,11,29,1,0,2.014903,132,1,12,11,0,0
38,39,25.95,0,0,0,18,12,36,1,0,3.2561717,216,0,0,0,0,0
39,40,25.95,1,0,0,16,13,35,1,0,3.2561717,208,1,16,13,0,0
40,41,11.53,1,0,0,18,29,53,1,0,2.4449522,522,1,18,29,0,0
41,42,5.5,1,0,0,12,2,20,0,0,1.704748,24,1,12,2,0,0
42,43,9.62,0,0,0,12,10,28,1,0,2.2638443,120,0,0,0,0,0
43,44,5.25,1,1,0,12,3,21,0,1,1.658228,36,1,12,3,1,12
44,45,11.5,0,0,0,12,9,27,0,0,2.442347,108,0,0,0,0,0
45,46,17.0,0,0,0,16,30,52,0,0,2.8332133,480,0,0,0,0,0
46,47,11.0,0,0,1,12,30,48,0,0,2.3978953,360,0,0,0,0,0
47,48,13.0,1,0,0,12,29,47,0,0,2.5649493,348,1,12,29,0,0
48,49,7.32,0,0,0,12,2,20,0,0,1.9906104,24,0,0,0,0,0
49,50,5.5,0,0,0,12,6,24,0,0,1.704748,72,0,0,0,0,0
50,51,11.52,0,0,0,12,33,51,1,0,2.4440846,396,0,0,0,0,0
51,52,15.0,0,0,0,12,37,55,1,0,2.7080503,444,0,0,0,0,0
52,53,13.5,0,0,1,12,16,34,0,0,2.6026897,192,0,0,0,0,0
53,54,6.75,1,0,0,11,12,29,0,0,1.9095426,132,1,11,12,0,0
54,55,12.5,0,0,0,12,12,30,1,0,2.5257287,144,0,0,0,0,0
55,56,7.1,0,0,0,9,28,43,0,0,1.9600948,252,0,0,0,0,0
56,57,6.0,0,1,0,11,35,52,0,0,1.7917595,385,0,0,0,1,11
57,58,14.43,0,0,0,16,9,31,1,0,2.6693094,144,0,0,0,0,0
58,59,13.78,1,0,0,16,2,24,1,0,2.6232183,32,1,16,2,0,0
59,60,5.0,1,1,0,12,7,25,0,1,1.609438,84,1,12,7,1,12
60,61,4.49,1,1,1,10,31,47,0,1,1.5018526,310,1,10,31,1,10
61,62,10.0,0,0,0,5,42,53,0,0,2.3025851,210,0,0,0,0,0
62,63,5.0,1,0,0,12,37,55,0,0,1.609438,444,1,12,37,0,0
63,64,17.68,1,0,1,16,33,55,1,0,2.8724341,528,1,16,33,0,0
64,65,4.38,1,1,0,12,23,41,1,1,1.4770488,276,1,12,23,1,12
65,66,6.88,1,0,0,12,12,30,1,0,1.9286187,144,1,12,12,0,0
66,67,12.5,1,0,0,12,25,43,0,0,2.5257287,300,1,12,25,0,0
67,68,13.9,1,0,0,16,8,30,1,0,2.6318889,128,1,16,8,0,0
68,69,7.0,0,0,0,12,41,59,0,0,1.9459101,492,0,0,0,0,0
69,70,12.0,0,0,1,11,32,49,0,0,2.4849067,352,0,0,0,0,0
70,71,9.0,0,0,0,12,15,33,0,0,2.1972246,180,0,0,0,0,0
71,72,6.5,0,0,0,11,6,23,0,0,1.8718022,66,0,0,0,0,0
72,73,16.0,0,0,1,12,42,60,0,0,2.7725887,504,0,0,0,0,0
73,74,2.13,1,0,0,12,12,30,0,0,0.75612205,144,1,12,12,0,0
74,75,9.62,0,1,0,12,21,39,1,0,2.2638443,252,0,0,0,1,12
75,76,20.2,1,0,0,18,21,45,1,0,3.0056827,378,1,18,21,0,0
76,77,14.43,1,0,0,20,2,28,1,0,2.6693094,40,1,20,2,0,0
77,78,35.83,0,0,0,20,20,46,1,0,3.5787857,400,0,0,0,0,0
78,79,16.67,1,0,0,14,11,31,0,0,2.8136108,154,1,14,11,0,0
79,80,23.08,0,0,1,18,25,49,1,0,3.1389663,450,0,0,0,0,0
80,81,4.25,0,0,0,14,7,27,0,0,1.446919,98,0,0,0,0,0
81,82,5.5,1,0,0,12,25,43,0,0,1.704748,300,1,12,25,0,0
82,83,15.59,0,0,0,12,36,54,0,0,2.7466297,432,0,0,0,0,0
83,84,6.94,1,1,0,14,26,46,1,1,1.9373018,364,1,14,26,1,14
84,85,25.0,1,0,0,14,30,50,0,0,3.218876,420,1,14,30,0,0
85,86,5.0,0,0,0,12,3,21,0,0,1.609438,36,0,0,0,0,0
86,87,15.68,1,0,1,16,21,43,1,0,2.752386,336,1,16,21,0,0
87,88,9.53,1,1,0,12,19,37,1,1,2.2544446,228,1,12,19,1,12
88,89,11.0,0,0,0,12,7,25,0,0,2.3978953,84,0,0,0,0,0
89,90,4.25,1,0,0,12,0,18,0,0,1.446919,0,1,12,0,0,0
90,91,4.0,1,1,0,12,34,52,0,1,1.3862944,408,1,12,34,1,12
91,92,8.25,0,0,0,12,15,33,0,0,2.1102133,180,0,0,0,0,0
92,93,22.0,0,0,1,12,15,33,0,0,3.0910425,180,0,0,0,0,0
93,94,5.15,1,0,0,12,1,19,0,0,1.6389967,12,1,12,1,0,0
94,95,4.7,0,0,0,16,1,23,0,0,1.5475625,16,0,0,0,0,0
95,96,8.0,0,0,0,1,26,33,0,0,2.0794415,26,0,0,0,0,0
96,97,12.0,0,1,1,11,32,49,0,0,2.4849067,352,0,0,0,1,11
97,98,2.0,1,0,0,5,14,25,1,0,0.6931472,70,1,5,14,0,0
98,99,5.0,0,0,0,9,12,27,1,0,1.609438,108,0,0,0,0,0
99,100,7.0,0,0,0,12,3,21,0,0,1.9459101,36,0,0,0,0,0
