stt,bdate,hocvan,thunhap,luongkd,thoigianlv,kinhnghiem,gioi,gioitinh,nu,chucvu,nhanvien,truongnhom,quanly,bangcap,tuoi,luongthang
170,6/13/1964,12,26550,15000,86,38,m,1,0,1,1,0,0,2,27,2212.5
171,1/21/1930,12,26700,13500,86,367,m,1,0,1,1,0,0,2,61,2225
172,6/13/1953,15,29850,15000,86,79,f,0,1,1,1,0,0,3,38,2487.5
173,1/15/1950,20,69250,42480,85,134,m,1,0,3,0,0,1,5,41,5770.83333333333
174,1/7/1935,8,31950,15000,85,438,m,1,0,2,0,1,0,1,56,2662.5
175,1/8/1938,8,26250,15600,85,171,m,1,0,1,1,0,0,1,53,2187.5
176,10/5/1962,16,35700,17250,85,19,f,0,1,1,1,0,0,4,29,2975
177,8/11/1962,12,28500,16500,85,69,f,0,1,1,1,0,0,2,29,2375
178,1/17/1938,12,17100,10200,85,72,f,0,1,1,1,0,0,2,53,1425
179,1/19/1965,12,25200,13050,85,29,m,1,0,1,1,0,0,2,26,2100
180,1/23/1960,12,24000,12750,85,59,f,0,1,1,1,0,0,2,31,2000
181,1/4/1939,12,27450,10200,85,101,f,0,1,1,1,0,0,2,52,2287.5
182,3/8/1943,12,18450,10200,85,228,f,0,1,1,1,0,0,2,48,1537.5
183,3/1/1960,15,39300,15750,84,72,m,1,0,1,1,0,0,3,31,3275
184,11/5/1964,15,38850,15000,84,53,m,1,0,1,1,0,0,3,27,3237.5
185,8/28/1930,8,30750,15000,84,380,m,1,0,2,0,1,0,1,61,2562.5
186,7/6/1964,15,37500,20400,84,33,m,1,0,1,1,0,0,3,27,3125
187,7/29/1963,16,58750,21750,84,13,m,1,0,3,0,0,1,4,28,4895.83333333333
188,2/4/1934,12,34500,18750,84,208,f,0,1,1,1,0,0,2,57,2875
189,3/28/1950,12,36000,19980,84,240,f,0,1,1,1,0,0,2,41,3000
190,11/15/1932,8,29100,16500,84,35,f,0,1,1,1,0,0,1,59,2425
191,10/23/1931,12,16500,10200,84,288,f,0,1,1,1,0,0,2,60,1375
192,10/9/1949,12,19650,12750,84,180,m,1,0,1,1,0,0,2,42,1637.5
193,7/22/1966,12,24750,12000,84,41,f,0,1,1,1,0,0,2,25,2062.5
194,4/10/1938,15,27150,15750,84,231,f,0,1,1,1,0,0,3,53,2262.5
195,11/6/1955,12,26400,12750,84,36,f,0,1,1,1,0,0,2,36,2200
196,3/3/1946,16,23100,12000,84,214,f,0,1,1,1,0,0,4,45,1925
197,10/1/1962,15,54900,25500,83,49,m,1,0,3,0,0,1,3,29,4575
198,3/17/1952,19,70875,43500,83,156,m,1,0,3,0,0,1,5,39,5906.25
199,2/2/1958,16,51250,27480,83,69,m,1,0,3,0,0,1,4,33,4270.83333333333
200,2/13/1963,17,67500,34980,83,9,m,1,0,3,0,0,1,5,28,5625
201,5/8/1955,12,29340,19500,83,150,m,1,0,1,1,0,0,2,36,2445
202,3/17/1963,15,39600,16500,83,47,m,1,0,1,1,0,0,3,28,3300
203,3/17/1964,12,29100,15000,83,50,m,1,0,1,1,0,0,2,27,2425
204,10/21/1960,15,33150,16500,83,69,m,1,0,1,1,0,0,3,31,2762.5
205,6/22/1944,16,66750,52500,83,258,m,1,0,3,0,0,1,4,47,5562.5
206,5/22/1943,12,33750,15000,83,284,m,1,0,2,0,1,0,2,48,2812.5
207,2/15/1959,15,27300,17250,83,91,m,1,0,1,1,0,0,3,32,2275
208,11/28/1968,12,24000,11250,83,16,f,0,1,1,1,0,0,2,23,2000
209,1/14/1934,8,19800,10200,83,75,f,0,1,1,1,0,0,1,57,1650
210,5/4/1949,15,30600,16500,83,216,m,1,0,1,1,0,0,3,42,2550
211,11/8/1950,15,28950,15000,83,108,m,1,0,1,1,0,0,3,41,2412.5
212,5/14/1965,15,38400,16500,83,64,m,1,0,1,1,0,0,3,26,3200
213,10/20/1945,8,30750,15000,83,302,m,1,0,2,0,1,0,1,46,2562.5
214,9/13/1968,12,20400,10950,83,9,f,0,1,1,1,0,0,2,23,1700
215,9/15/1968,12,19200,11100,83,7,f,0,1,1,1,0,0,2,23,1600
216,5/16/1964,15,30150,15750,82,72,m,1,0,1,1,0,0,3,27,2512.5
217,3/15/1949,16,34620,27750,82,149,m,1,0,1,1,0,0,4,42,2885
218,3/21/1964,15,80000,15750,82,34,m,1,0,1,1,0,0,3,27,6666.66666666667
219,2/2/1963,12,25350,15000,82,32,m,1,0,1,1,0,0,2,28,2112.5
220,8/17/1963,12,29850,15750,82,85,m,1,0,1,1,0,0,2,28,2487.5
221,5/22/1947,12,24000,13800,82,97,f,0,1,1,1,0,0,2,44,2000
222,9/15/1935,15,27750,19500,82,265,f,0,1,1,1,0,0,3,56,2312.5
223,3/14/1942,8,22350,10200,82,48,f,0,1,1,1,0,0,1,49,1862.5
224,11/20/1934,12,16200,10200,82,0,f,0,1,1,1,0,0,2,57,1350
225,10/13/1967,15,21900,12750,82,0,f,0,1,1,1,0,0,3,24,1825
226,6/21/1964,16,23250,15750,82,4,f,0,1,1,1,0,0,4,27,1937.5
227,7/17/1965,12,33900,12000,82,11,f,0,1,1,1,0,0,2,26,2825
228,9/21/1963,15,25650,14250,82,51,f,0,1,1,1,0,0,3,28,2137.5
229,8/21/1940,12,17250,10200,82,358,f,0,1,1,1,0,0,2,51,1437.5
230,2/4/1934,15,22500,15000,82,371,m,1,0,1,1,0,0,3,57,1875
231,1/9/1965,16,40200,21000,81,3,m,1,0,3,0,0,1,4,26,3350
232,9/13/1963,19,55500,33750,81,62,m,1,0,3,0,0,1,5,28,4625
233,7/21/1963,15,26550,15000,81,52,m,1,0,1,1,0,0,3,28,2212.5
234,11/12/1960,15,50550,19500,81,44,m,1,0,1,1,0,0,3,31,4212.5
235,9/11/1962,19,75000,31500,81,13,m,1,0,3,0,0,1,5,29,6250
236,5/2/1969,8,27450,12000,81,9,f,0,1,1,1,0,0,1,22,2287.5
237,6/4/1969,12,22650,11250,81,0,f,0,1,1,1,0,0,2,22,1887.5
238,6/15/1969,12,27300,11250,81,5,f,0,1,1,1,0,0,2,22,2275
239,9/14/1969,12,27750,11225,81,5,f,0,1,1,1,0,0,2,22,2312.5
240,6/15/1961,16,54375,18750,81,81,f,0,1,3,0,0,1,4,30,4531.25
241,8/27/1936,8,17400,10200,81,390,f,0,1,1,1,0,0,1,55,1450
242,11/3/1967,12,40800,18000,81,4,f,0,1,1,1,0,0,2,24,3400
243,2/10/1969,12,23100,10950,81,0,f,0,1,1,1,0,0,2,22,1925
244,9/15/1969,8,22500,10950,81,5,f,0,1,1,1,0,0,1,22,1875
245,3/16/1969,12,26700,11550,81,18,f,0,1,1,1,0,0,2,22,2225
246,1/14/1968,12,24900,11250,81,0,f,0,1,1,1,0,0,2,23,2075
247,5/13/1968,12,19650,10950,81,11,f,0,1,1,1,0,0,2,23,1637.5
248,4/9/1969,12,22050,10950,81,9,f,0,1,1,1,0,0,2,22,1837.5
249,5/9/1969,12,25500,12000,81,11,f,0,1,1,1,0,0,2,22,2125
250,10/10/1966,15,28200,12750,81,19,f,0,1,1,1,0,0,3,25,2350
251,1/19/1969,12,23100,11250,81,13,f,0,1,1,1,0,0,2,22,1925
252,9/18/1969,12,25500,11400,81,9,m,1,0,1,1,0,0,2,22,2125
253,2/21/1942,8,17100,10200,81,0,f,0,1,1,1,0,0,1,49,1425
254,2/8/1964,18,68125,32490,80,29,m,1,0,3,0,0,1,5,27,5677.08333333333
255,8/15/1932,12,30600,15750,80,460,m,1,0,2,0,1,0,2,59,2550
256,1/3/1948,19,52125,27480,80,221,m,1,0,3,0,0,1,5,43,4343.75
257,9/24/1951,19,61875,36750,80,199,m,1,0,3,0,0,1,5,40,5156.25
258,3/9/1969,8,21300,11550,80,24,m,1,0,1,1,0,0,1,22,1775
259,3/15/1969,12,19650,11250,80,5,f,0,1,1,1,0,0,2,22,1637.5
260,2/20/1969,12,22350,11250,80,5,f,0,1,1,1,0,0,2,22,1862.5
261,3/27/1969,12,23400,11250,80,18,f,0,1,1,1,0,0,2,22,1950
262,6/20/1968,12,24300,10950,80,8,f,0,1,1,1,0,0,2,23,2025
263,10/13/1968,12,28500,11250,80,4,f,0,1,1,1,0,0,2,23,2375
264,1/16/1969,12,19950,11250,80,8,f,0,1,1,1,0,0,2,22,1662.5
265,9/24/1969,12,23400,11250,80,0,f,0,1,1,1,0,0,2,22,1950
266,10/7/1963,16,34500,17250,80,3,f,0,1,1,1,0,0,4,28,2875
267,8/24/1969,12,18150,10950,80,0,f,0,1,1,1,0,0,2,22,1512.5
268,5/16/1936,12,22350,15000,80,272,m,1,0,1,1,0,0,2,55,1862.5
269,3/17/1966,15,40200,17250,79,38,m,1,0,1,1,0,0,3,25,3350
270,10/29/1947,15,28650,18000,79,261,m,1,0,1,1,0,0,3,44,2387.5
271,8/24/1963,15,27750,16500,79,55,m,1,0,1,1,0,0,3,28,2312.5
272,6/17/1964,18,66875,31980,79,30,m,1,0,1,1,0,0,5,27,5572.91666666667
273,11/12/1939,12,30000,15750,79,308,m,1,0,2,0,1,0,2,52,2500
274,8/4/1964,16,83750,21750,79,12,m,1,0,3,0,0,1,4,27,6979.16666666667
275,1/14/1963,12,33900,16500,79,94,m,1,0,1,1,0,0,2,28,2825
276,5/11/1965,16,56500,21000,79,12,m,1,0,3,0,0,1,4,26,4708.33333333333
277,5/20/1965,16,43000,17490,79,20,f,0,1,3,0,0,1,4,26,3583.33333333333
278,6/12/1943,8,20850,12000,79,70,f,0,1,1,1,0,0,1,48,1737.5
279,4/16/1969,12,24450,12000,79,8,f,0,1,1,1,0,0,2,22,2037.5
280,10/20/1969,12,24750,10950,79,5,f,0,1,1,1,0,0,2,22,2062.5
281,2/18/1945,8,34500,15750,79,246,m,1,0,2,0,1,0,1,46,2875
282,9/15/1963,14,27900,15000,79,47,m,1,0,1,1,0,0,3,28,2325
283,2/25/1963,19,68125,32010,78,35,m,1,0,3,0,0,1,5,28,5677.08333333333
284,10/10/1961,19,73500,33000,78,45,m,1,0,3,0,0,1,5,30,6125
285,5/28/1930,8,30750,15750,78,429,m,1,0,2,0,1,0,1,61,2562.5
286,3/7/1958,15,40050,25500,78,133,m,1,0,3,0,0,1,3,33,3337.5
287,1/18/1965,16,40350,19500,78,20,m,1,0,1,1,0,0,4,26,3362.5
288,1/22/1955,15,38700,23730,78,176,m,1,0,3,0,0,1,3,36,3225
289,10/27/1964,17,65000,30750,78,26,m,1,0,3,0,0,1,5,27,5416.66666666667
290,4/5/1954,18,51450,36240,78,149,m,1,0,3,0,0,1,5,37,4287.5
291,9/23/1934,12,35250,15750,78,387,m,1,0,2,0,1,0,2,57,2937.5
292,5/7/1963,14,25950,15000,78,53,m,1,0,1,1,0,0,3,28,2162.5
293,9/19/1965,15,25050,14250,78,24,m,1,0,1,1,0,0,3,26,2087.5
294,10/10/1968,12,26700,12750,78,25,m,1,0,1,1,0,0,2,23,2225
295,8/20/1932,8,24000,15750,78,476,m,1,0,1,1,0,0,1,59,2000
296,2/12/1964,12,26850,15000,78,48,m,1,0,1,1,0,0,2,27,2237.5
297,4/16/1942,12,23400,15300,78,209,f,0,1,1,1,0,0,2,49,1950
298,8/24/1966,12,24600,13500,78,47,f,0,1,1,1,0,0,2,25,2050
299,5/11/1965,15,32550,18000,78,6,f,0,1,1,1,0,0,3,26,2712.5
300,5/26/1960,16,26550,15000,78,105,m,1,0,1,1,0,0,4,31,2212.5
301,8/4/1968,12,31500,13500,78,7,m,1,0,1,1,0,0,2,23,2625
302,9/28/1939,8,22350,15000,78,320,m,1,0,1,1,0,0,1,52,1862.5
303,2/10/1938,12,35250,15750,78,281,m,1,0,2,0,1,0,2,53,2937.5
304,9/28/1945,15,25800,13500,78,51,f,0,1,1,1,0,0,3,46,2150
305,10/25/1941,12,30750,15750,77,317,m,1,0,2,0,1,0,2,50,2562.5
306,4/5/1966,15,30750,16500,77,41,m,1,0,1,1,0,0,3,25,2562.5
307,7/24/1945,16,50000,32490,77,264,m,1,0,3,0,0,1,4,46,4166.66666666667
308,2/1/1963,15,34500,18000,77,63,m,1,0,1,1,0,0,3,28,2875
309,7/19/1964,15,26250,15750,77,38,m,1,0,1,1,0,0,3,27,2187.5
310,3/23/1964,16,44875,21240,77,22,m,1,0,1,1,0,0,4,27,3739.58333333333
311,2/15/1951,12,22500,12000,77,63,f,0,1,1,1,0,0,2,40,1875
312,3/12/1963,12,25650,14250,77,64,f,0,1,1,1,0,0,2,28,2137.5
313,10/25/1969,12,21300,11250,77,0,f,0,1,1,1,0,0,2,22,1775
314,11/24/1966,12,29850,13500,77,38,f,0,1,1,1,0,0,2,25,2487.5
315,9/19/1969,12,34500,12150,77,4,f,0,1,1,1,0,0,2,22,2875
316,1/14/1960,15,27750,15000,77,52,m,1,0,1,1,0,0,3,31,2312.5
317,2/27/1969,12,27750,11550,77,12,m,1,0,1,1,0,0,2,22,2312.5
318,2/19/1961,16,48750,21990,76,61,m,1,0,3,0,0,1,4,30,4062.5
